time,Hip Angle,Knee Angle,Hip Momentum,Knee Momentum
0,-0.011461,0.012407,-0.029341,0.031763
0.005,-0.010659,0.012407,-0.085969,0.095289
0.01,-0.0096282,0.011891,-0.16724,0.18926
0.015,-0.0089899,0.011378,-0.27153,0.31235
0.02,-0.0080919,0.010363,-0.39654,0.46197
0.025,-0.0070667,0.0097495,-0.48095,0.57303
0.03,-0.0061606,0.0089225,-0.52657,0.6434
0.035,-0.005252,0.0079289,-0.53633,0.67319
0.04,-0.0040663,0.0067774,-0.51047,0.66207
0.045,-0.0031643,0.0056153,-0.45128,0.61227
0.05,-0.0023135,0.004454,-0.39117,0.55572
0.055,-0.0011429,0.0030053,-0.32974,0.49294
0.06,0,0.0014819,-0.26606,0.4238
0.065,0.0011429,0.00037085,-0.20165,0.35004
0.07,0.0020267,-0.0014819,-0.13657,0.27026
0.075,0.0031643,-0.0030055,-0.069631,0.18494
0.08,0.004345,-0.0044538,-0.0014892,0.095677
0.085,0.005252,-0.0056162,0.066652,0.0047447
0.09,0.0061606,-0.0064345,0.1343,-0.087208
0.095,0.0070667,-0.0072623,0.20157,-0.17579
0.1,0.0079646,-0.0085957,0.2671,-0.25959
0.105,0.0089899,-0.0092433,0.33047,-0.33655
0.11,0.0096282,-0.0099497,0.3916,-0.40644
0.115,0.010659,-0.010569,0.4514,-0.46948
0.12,0.011687,-0.01116,0.51013,-0.52771
0.125,0.012492,-0.011378,0.62684,-0.64228
0.13,0.013106,-0.011891,0.79677,-0.81488
0.135,0.013909,-0.012125,1.0158,-1.0428
0.14,0.01471,-0.012408,1.2796,-1.3232
0.145,0.015327,-0.012407,1.5824,-1.6498
0.15,0.015954,-0.012125,1.8013,-1.8941
0.155,0.016757,-0.012125,1.9414,-2.0508
0.16,0.017392,-0.011891,2.0077,-2.1202
0.165,0.018426,-0.011377,2.0019,-2.1004
0.17,0.019067,-0.011378,1.9298,-1.9975
0.175,0.019708,-0.010868,1.8565,-1.8759
0.18,0.020349,-0.010569,1.7805,-1.7372
0.185,0.020987,-0.010363,1.7002,-1.5826
0.19,0.021526,-0.0095566,1.6169,-1.4166
0.195,0.022077,-0.0087439,1.5304,-1.2346
0.2,0.022718,-0.008254,1.4382,-1.0379
0.205,0.022999,-0.0077566,1.3413,-0.8302
0.21,0.023568,-0.0067774,1.2417,-0.61386
0.215,0.024199,-0.0064345,1.1421,-0.39215
0.22,0.024817,-0.0059622,1.0425,-0.1768
0.225,0.025102,-0.0052644,0.94481,0.029937
0.23,0.025389,-0.0044538,0.85075,0.22426
0.235,0.025965,-0.0036588,0.76071,0.40324
0.24,0.026544,-0.0028824,0.67248,0.56964
0.245,0.026834,-0.0021704,0.58456,0.72899
0.25,0.027125,-0.0010899,0.46776,0.90876
0.255,0.027125,-0.00037174,0.3247,1.1113
0.26,0.027416,0.00037085,0.15507,1.3356
0.265,0.027706,0.0011121,-0.038319,1.5784
0.27,0.027997,0.0022161,-0.24958,1.8357
0.275,0.028287,0.0028825,-0.417,2.0434
0.28,0.028577,0.0035848,-0.54396,2.1978
0.285,0.028577,0.0043631,-0.63173,2.2992
0.29,0.028866,0.0053916,-0.68217,2.3458
